SEAS	YR	TOTAL	ANOM	mmonth	status	ma_status	fstatus	month_num	year_month_index
ASO	2017	26.38	-0.38	S	0	0	Normal	9	Sep-17
SON	2017	26.06	-0.65	O	-1	-1	Normal	10	Oct-17
OND	2017	25.84	-0.84	N	-1	-2	Normal	11	Nov-17
NDJ	2017	25.64	-0.97	D	-1	-3	La Niña	12	Dec-17
DJF	2018	25.72	-0.92	J	-1	-3	La Niña	1	Jan-18
JFM	2018	26.02	-0.85	F	-1	-3	La Niña	2	Feb-18
FMA	2018	26.6	-0.7	M	-1	-3	La Niña	3	Mar-18
MAM	2018	27.18	-0.5	A	-1	-3	La Niña	4	Apr-18
AMJ	2018	27.61	-0.22	M	0	-2	Normal	5	May-18
MJJ	2018	27.64	-0.01	J	0	-1	Normal	6	Jun-18
JJA	2018	27.38	0.09	J	0	0	Normal	7	Jul-18
JAS	2018	27.18	0.23	A	0	0	Normal	8	Aug-18
ASO	2018	27.25	0.49	S	0	0	Normal	9	Sep-18
SON	2018	27.47	0.76	O	1	1	Normal	10	Oct-18
OND	2018	27.57	0.9	N	1	2	Normal	11	Nov-18
NDJ	2018	27.43	0.81	D	1	3	El Niño	12	Dec-18
DJF	2019	27.39	0.75	J	1	3	El Niño	1	Jan-19
JFM	2019	27.59	0.72	F	1	3	El Niño	2	Feb-19
FMA	2019	28.01	0.71	M	1	3	El Niño	3	Mar-19
MAM	2019	28.34	0.66	A	1	3	El Niño	4	Apr-19
AMJ	2019	28.37	0.54	M	1	3	El Niño	5	May-19
MJJ	2019	28.1	0.45	J	0	2	Normal	6	Jun-19
JJA	2019	27.57	0.28	J	0	1	Normal	7	Jul-19
JAS	2019	27.1	0.14	A	0	0	Normal	8	Aug-19
ASO	2019	26.95	0.19	S	0	0	Normal	9	Sep-19
SON	2019	27.06	0.35	O	0	0	Normal	10	Oct-19
OND	2019	27.18	0.51	N	1	1	Normal	11	Nov-19
NDJ	2019	27.17	0.55	D	1	2	Normal	12	Dec-19
DJF	2020	27.14	0.5	J	1	3	El Niño	1	Jan-20
JFM	2020	27.35	0.48	F	0	2	Normal	2	Feb-20
FMA	2020	27.7	0.4	M	0	1	Normal	3	Mar-20
MAM	2020	27.87	0.19	A	0	0	Normal	4	Apr-20
AMJ	2020	27.75	-0.08	M	0	0	Normal	5	May-20
MJJ	2020	27.35	-0.3	J	0	0	Normal	6	Jun-20
JJA	2020	26.88	-0.41	J	0	0	Normal	7	Jul-20
JAS	2020	26.38	-0.57	A	-1	-1	Normal	8	Aug-20
ASO	2020	25.87	-0.89	S	-1	-2	Normal	9	Sep-20
SON	2020	25.54	-1.17	O	-1	-3	La Niña	10	Oct-20
OND	2020	25.4	-1.27	N	-1	-3	La Niña	11	Nov-20
NDJ	2020	25.43	-1.19	D	-1	-3	La Niña	12	Dec-20
DJF	2021	25.59	-1.05	J	-1	-3	La Niña	1	Jan-21
JFM	2021	25.94	-0.93	F	-1	-3	La Niña	2	Feb-21
FMA	2021	26.46	-0.84	M	-1	-3	La Niña	3	Mar-21
MAM	2021	27.03	-0.66	A	-1	-3	La Niña	4	Apr-21
AMJ	2021	27.35	-0.48	M	0	-2	Normal	5	May-21
MJJ	2021	27.28	-0.38	J	0	-1	Normal	6	Jun-21
JJA	2021	26.89	-0.4	J	0	0	Normal	7	Jul-21
JAS	2021	26.46	-0.49	A	0	0	Normal	8	Aug-21
ASO	2021	26.09	-0.67	S	-1	-1	Normal	9	Sep-21
SON	2021	25.9	-0.81	O	-1	-2	Normal	10	Oct-21
OND	2021	25.69	-0.98	N	-1	-3	La Niña	11	Nov-21
NDJ	2021	25.63	-0.98	D	-1	-3	La Niña	12	Dec-21
DJF	2022	25.67	-0.97	J	-1	-3	La Niña	1	Jan-22
JFM	2022	25.94	-0.93	F	-1	-3	La Niña	2	Feb-22
FMA	2022	26.31	-0.99	M	-1	-3	La Niña	3	Mar-22
MAM	2022	26.62	-1.06	A	-1	-3	La Niña	4	Apr-22
AMJ	2022	26.84	-0.99	M	-1	-3	La Niña	5	May-22
MJJ	2022	26.8	-0.85	J	-1	-3	La Niña	6	Jun-22
JJA	2022	26.48	-0.81	J	-1	-3	La Niña	7	Jul-22
JAS	2022	26.04	-0.91	A	-1	-3	La Niña	8	Aug-22
ASO	2022	25.75	-1.01	S	-1	-3	La Niña	9	Sep-22
SON	2022	25.72	-0.99	O	-1	-3	La Niña	10	Oct-22
OND	2022	25.76	-0.92	N	-1	-3	La Niña	11	Nov-22
NDJ	2022	25.8	-0.82	D	-1	-3	La Niña	12	Dec-22
DJF	2023	25.96	-0.67	J	-1	-3	La Niña	1	Jan-23
JFM	2023	26.44	-0.43	F	0	-2	Normal	2	Feb-23
FMA	2023	27.15	-0.14	M	0	-1	Normal	3	Mar-23
MAM	2023	27.83	0.14	A	0	0	Normal	4	Apr-23
