Date,ONI,SPI_ideam,SPI_merge,SPEI
2000-01-01,-1.66,-0.6587375132269941,,-0.435
2000-02-01,-1.41,0.146829049825722,,1.513
2000-03-01,-1.07,0.3856391302101867,,1.403
2000-04-01,-0.81,-0.5533937548524365,,-0.018
2000-05-01,-0.71,0.1505217561434984,,-0.119
2000-06-01,-0.64,-0.4630710092787371,,-0.715
2000-07-01,-0.55,0.05482042171565219,,0.22
2000-08-01,-0.51,-0.3024296357268366,,-0.056
2000-09-01,-0.55,0.4025822749293831,,0.822
2000-10-01,-0.63,0.01830523979082319,,0.443
2000-11-01,-0.75,-0.05111265398999719,,0.289
2000-12-01,-0.74,0.1602117245697226,,-0.306
2001-01-01,-0.68,0.04073439337152306,,-0.311
2001-02-01,-0.52,0.06829182464804211,,-0.848
2001-03-01,-0.44,-0.9161025917385169,-0.6958273686993813,-0.582
2001-04-01,-0.34,-1.153407645679576,-1.7442986487379608,-1.127
2001-05-01,-0.25,-0.4441545802813572,-0.7648777886579101,-0.588
2001-06-01,-0.12,-0.8351485800636512,-1.047801416295783,-0.833
2001-07-01,-0.08,-0.706774997546145,-0.47022254968120075,-0.195
2001-08-01,-0.13,-0.8534522191257924,-1.0222136864030174,-0.711
2001-09-01,-0.19,0.05794315391519337,-0.3033859319485748,-0.626
2001-10-01,-0.29,0.1750049185296219,-0.26876620785341265,-1.009
2001-11-01,-0.35,0.3821681429296208,0.444169941113756,-0.805
2001-12-01,-0.31,0.2747407695101711,0.7554227029529625,-0.271
2002-01-01,-0.15,0.6517103836666889,0.6320583582032984,-0.023
2002-02-01,0.03,0.5798565002694939,0.04550539541641631,-0.243
2002-03-01,0.09,0.2140131146196912,0.07069473604039696,0.335
2002-04-01,0.2,0.1334038887615557,0.5613277826041639,0.899
2002-05-01,0.43,0.474888339536103,1.515797758877119,1.638
2002-06-01,0.65,0.1727629821026343,0.9876509122020329,1.519
2002-07-01,0.79,0.1857008303053926,1.0159755177582086,1.386
2002-08-01,0.86,0.1221926721359742,-0.10051024255275268,0.389
2002-09-01,1.01,-0.1458613108730496,-0.15691403686400174,-0.172
2002-10-01,1.21,-0.2883915496852701,-0.18214447461059674,-1.27
2002-11-01,1.31,-0.2871486644204154,0.08262543980484935,-0.314
2002-12-01,1.14,-0.07069240378961987,0.29530506095749454,-0.297
2003-01-01,0.92,-0.2035861168954217,-0.5465640557385077,-0.091
2003-02-01,0.63,-0.7337327848731068,-0.9195908899725813,-1.126
2003-03-01,0.38,-0.5840011065779566,0.016449360393026406,-0.913
2003-04-01,-0.04,-0.06474362099008375,0.7529005885212001,0.258
2003-05-01,-0.26,0.1140915617562798,0.3804460720963415,-0.285
2003-06-01,-0.16,0.07265776194345483,0.1683833400219302,0.348
2003-07-01,0.08,-0.3149931436370313,-0.3838265745894562,-0.38
2003-08-01,0.21,-0.4261376877880275,-0.174344192122968,0.078
2003-09-01,0.26,0.1536031187493994,0.02517385454150982,-0.215
2003-10-01,0.29,0.5926795792446025,1.0850317650716568,0.548
2003-11-01,0.35,0.4618493026016542,1.042227225725993,1.163
2003-12-01,0.35,0.6513222836266139,0.8899268980275208,1.315
2004-01-01,0.37,0.4421142097553032,-0.1127659261931495,1.228
2004-02-01,0.31,0.7132653858392355,0.13670173238858807,0.492
2004-03-01,0.23,-1.127445475942431,-0.3005777193319432,-0.577
2004-04-01,0.17,-0.5679740187197541,0.3959120787304118,0.605
2004-05-01,0.17,0.09636110439851785,0.2655063367017208,1.281
2004-06-01,0.28,0.342745102751256,0.29575208028483335,0.958
2004-07-01,0.47,0.2571327122229393,-0.02432483694806743,0.445
2004-08-01,0.64,0.1257863267359008,-0.25188897772587315,-0.447
2004-09-01,0.7,0.2564095246228673,-0.1940918177564783,0.383
2004-10-01,0.67,0.1760922816554133,-0.2266597029065144,0.287
2004-11-01,0.66,-0.1132481825950683,0.03587777783197988,0.482
2004-12-01,0.69,0.2454601230183195,0.057494295497474014,0.54
2005-01-01,0.64,0.6349034891009068,0.5048136952393706,0.962
2005-02-01,0.58,0.8459750211090282,1.228697336116507,1.19
2005-03-01,0.45,-0.00585463490407612,0.2842011251080229,0.305
2005-04-01,0.43,0.23360823432342,-0.08635625021524464,0.138
2005-05-01,0.29,0.1904085698391497,-0.5723201755786632,0.493
2005-06-01,0.11,0.3835287630277399,0.06294729885462431,0.629
2005-07-01,-0.06,-0.4606315773934586,-0.22039910019666734,0.396
2005-08-01,-0.14,-0.05759600142382564,-0.4956537660253759,-0.052
2005-09-01,-0.11,-0.5583963748332468,-0.9717396637301428,-0.487
2005-10-01,-0.29,0.1737051198971542,-0.4461726643532287,-0.17
2005-11-01,-0.57,-0.1505076276450536,-0.30777388129445155,0.307
2005-12-01,-0.84,-0.05966324495868688,0.0677341898590091,0.698
2006-01-01,-0.85,0.1890100035074351,0.6483213312102458,0.846
2006-02-01,-0.77,-0.1189147336124097,1.0351264113245537,0.488
2006-03-01,-0.57,0.8274641589550636,1.2110630156336935,1.7
2006-04-01,-0.37,-0.3411114626645874,0.024816272701651227,1.297
2006-05-01,-0.14,-0.01630211244309876,-0.39247006326754563,1.267
2006-06-01,-0.03,-0.2265650726821472,-0.6281482959073726,0.765
2006-07-01,0.1,-0.2868395555495832,-0.69753616827928,0.543
2006-08-01,0.3,-0.004385607852785616,-0.23679916760357653,-0.302
2006-09-01,0.54,-0.2201783413014394,-0.5577454551102071,-1.242
2006-10-01,0.77,0.1450791634499323,-0.32682121201484604,-0.793
2006-11-01,0.94,0.5670701694020478,-0.9210598908334421,-0.502
2006-12-01,0.94,0.7895798901164484,-0.44261366674794517,0.575
2007-01-01,0.66,0.5790721084669495,0.4998427225649167,-0.192
2007-02-01,0.22,-0.4251336469763122,1.7610019773275294,-1.236
2007-03-01,-0.12,-0.2330975991064865,1.924059211113725,-0.242
2007-04-01,-0.32,-0.01694147705188783,1.3484863787682402,-0.257
2007-05-01,-0.38,0.2709562612785609,1.150449828503642,0.374
2007-06-01,-0.47,0.6518361976021998,1.0826601565426985,0.525
2007-07-01,-0.56,0.3486637348646252,1.073507223629822,0.006
2007-08-01,-0.81,0.5140998537776388,1.0122002827222945,0.075
2007-09-01,-1.07,-0.1321163697695831,0.9905846341049719,-0.053
2007-10-01,-1.34,0.838776507880977,1.2758930381487583,1.022
