CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Valor,geometry
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,202.9,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,220.5,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,376.8,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,278.2,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,264.3,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,383.3,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,300.3,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,93.5,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,0.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,33.6,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,58.7,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,58.3,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,188.6,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,278.6,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,298.4,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,304.8,POINT (-70.73805556000001 7.069444444)
